SampleTimeFine,Roll,Pitch,Yaw
123978,2.870776,-88.231228,-0.177379
124078,4.61008,-88.197528,-1.954141
124178,6.333182,-88.147982,-3.763738
124278,7.836897,-88.085252,-5.404874
124378,9.220092,-88.035997,-6.967632
124478,10.542732,-88.025686,-8.504781
124578,11.954304,-88.064119,-10.161432
124678,13.699629,-88.152216,-12.166012
124778,15.972846,-88.273796,-14.687926
124878,18.87809,-88.404507,-17.823973
124978,22.380602,-88.528146,-21.533572
125078,26.239185,-88.637589,-25.555937
125178,30.123774,-88.727128,-29.550406
125278,33.80886,-88.792981,-33.302071
125378,36.993839,-88.835383,-36.528199
125478,39.617618,-88.86439,-39.184678
125578,42.252132,-88.903887,-41.860458
125678,45.977013,-88.97609,-45.666151
125778,51.726975,-89.077213,-51.544747
125878,60.189828,-89.183753,-60.165838
125978,71.083672,-89.270408,-71.231124
126078,83.361921,-89.318281,-83.686725
126178,94.730355,-89.328804,-95.233151
126278,103.350046,-89.312869,-104.022755
126378,109.131486,-89.285703,-109.956436
126478,112.980843,-89.258451,-113.942328
126578,115.374257,-89.238748,-116.469489
126678,116.703809,-89.228158,-117.937179
126778,117.841404,-89.22293,-119.221674
126878,119.265787,-89.218332,-120.798015
126978,121.283429,-89.21149,-122.964687
127078,123.911413,-89.201696,-125.735355
127178,126.590655,-89.193972,-128.545654
127278,128.556663,-89.199306,-130.627362
127378,129.126147,-89.22801,-131.289673
127478,127.634818,-89.281021,-129.85951
127578,124.182011,-89.347624,-126.434258
127678,118.657177,-89.418691,-120.910758
127778,110.110761,-89.491561,-112.357346
127878,96.390648,-89.560097,-98.63538
127978,75.115346,-89.598506,-77.363495
128078,50.511335,-89.565214,-52.756683
128178,31.336866,-89.457242,-33.559861
128278,19.183358,-89.301725,-21.357034
128378,11.348454,-89.116796,-13.452935
128478,5.882471,-88.906333,-7.915696
128578,1.82758,-88.66894,-3.803881
128678,-1.13231,-88.402906,-0.819554
128778,-3.392821,-88.10682,1.424571
128878,-5.224049,-87.782372,3.207848
128978,-6.792901,-87.433509,4.722599
129078,-8.153817,-87.055798,6.048268
129178,-9.236029,-86.637692,7.124302
129278,-9.992882,-86.175934,7.9145
129378,-10.461898,-85.697832,8.463676
129478,-10.701858,-85.258407,8.812632
129578,-10.825763,-84.887292,9.028024
129678,-10.821538,-84.599319,9.049234
