SampleTimeFine,Roll,Pitch,Yaw
524388,-0.659318,-79.945343,0.649192
524488,-0.719934,-79.944401,0.732361
524588,-0.778075,-79.941904,0.812839
524688,-0.825028,-79.941502,0.880972
524788,-0.839862,-79.940882,0.919703
524888,-0.814949,-79.939709,0.923305
524988,-0.761558,-79.933116,0.900398
525088,-0.687011,-79.916081,0.858108
525188,-0.600718,-79.888419,0.803358
525288,-0.523159,-79.850692,0.754486
525388,-0.468328,-79.808791,0.726608
525488,-0.436101,-79.768301,0.720299
525588,-0.436309,-79.730954,0.741578
525688,-0.444355,-79.697847,0.765958
525788,-0.446833,-79.670524,0.781027
525888,-0.436153,-79.646596,0.780277
525988,-0.412717,-79.621033,0.761818
526088,-0.369572,-79.593259,0.721897
526188,-0.316162,-79.561686,0.671883
526288,-0.261384,-79.527695,0.618253
526388,-0.214471,-79.493284,0.569776
526488,-0.168892,-79.459463,0.518942
526588,-0.12565,-79.42645,0.465872
526688,-0.092999,-79.396285,0.418613
526788,-0.060739,-79.370511,0.366445
526888,-0.024241,-79.341935,0.307416
526988,0.017793,-79.304553,0.249124
527088,0.068889,-79.25258,0.18618
527188,0.138445,-79.194213,0.108084
527288,0.21727,-79.137588,0.020377
527388,0.292837,-79.095546,-0.067407
527488,0.352419,-79.064727,-0.144744
527588,0.397503,-79.025767,-0.2079
527688,0.421024,-78.968682,-0.247703
527788,0.430216,-78.901502,-0.271889
527888,0.440708,-78.837121,-0.296475
527988,0.459638,-78.79072,-0.325399
528088,0.507251,-78.769889,-0.373749
528188,0.578595,-78.76696,-0.439208
528288,0.672589,-78.766286,-0.522029
528388,0.774506,-78.757643,-0.608792
528488,0.872023,-78.736753,-0.688628
528588,0.953447,-78.706215,-0.75358
528688,1.019246,-78.673007,-0.803985
528788,1.066816,-78.641405,-0.842253
528888,1.101181,-78.616633,-0.873595
528988,1.127281,-78.598372,-0.902676
529088,1.14487,-78.583791,-0.92474
529188,1.158318,-78.570771,-0.946283
529288,1.185265,-78.552563,-0.976743
529388,1.212184,-78.531545,-1.002109
529488,1.260085,-78.503786,-1.041765
529588,1.313969,-78.467944,-1.08058
529688,1.366689,-78.427719,-1.114833
529788,1.421719,-78.389732,-1.14814
529888,1.485721,-78.356864,-1.186215
529988,1.54658,-78.327296,-1.225108
530088,1.599793,-78.302003,-1.260161
530188,1.639749,-78.284196,-1.288758
530288,1.661586,-78.272212,-1.304787
530388,1.667562,-78.26302,-1.307586
530488,1.672051,-78.253952,-1.307178
530588,1.674203,-78.244415,-1.300048
530688,1.679405,-78.232781,-1.292639
530788,1.690099,-78.218101,-1.287937
530888,1.709747,-78.201689,-1.290343
530988,1.732147,-78.184058,-1.297266
531088,1.748632,-78.164765,-1.298968
531188,1.757013,-78.145778,-1.293633
531288,1.748429,-78.124768,-1.272601
531388,1.730252,-78.1012,-1.242893
531488,1.70566,-78.078737,-1.208611
531588,1.676875,-78.058456,-1.169408
531688,1.654964,-78.040137,-1.132265
531788,1.641511,-78.02006,-1.100811
531888,1.641225,-77.997146,-1.082381
531988,1.645424,-77.970375,-1.068173
532088,1.647917,-77.942104,-1.054204
532188,1.646643,-77.911921,-1.039044
532288,1.63652,-77.88015,-1.01536
532388,1.623053,-77.849989,-0.990537
532488,1.606311,-77.823674,-0.962356
532588,1.59004,-77.801593,-0.935024
532688,1.570321,-77.785947,-0.908504
532788,1.554047,-77.768944,-0.887495
532888,1.547868,-77.744616,-0.871373
532988,1.545299,-77.715858,-0.860751
533088,1.549642,-77.681982,-0.857347
533188,1.549795,-77.65444,-0.853475
533288,1.544822,-77.643662,-0.849362
533388,1.529319,-77.643668,-0.840999
533488,1.501717,-77.638648,-0.817286
533588,1.461136,-77.621093,-0.78369
533688,1.417955,-77.59757,-0.747363
533788,1.379677,-77.576138,-0.713915
533888,1.347145,-77.562641,-0.683184
533988,1.327614,-77.562322,-0.664498
534088,1.32435,-77.57495,-0.65815
534188,1.331354,-77.591417,-0.658733
534288,1.343741,-77.601517,-0.664447
534388,1.356119,-77.59886,-0.671476
534488,1.365226,-77.592172,-0.678495
534588,1.371378,-77.591789,-0.684778
534688,1.383585,-77.604147,-0.696525
534788,1.389343,-77.627707,-0.702205
534888,1.399194,-77.657681,-0.711318
534988,1.40867,-77.684438,-0.718326
535088,1.423356,-77.706037,-0.733929
535188,1.439483,-77.720835,-0.753141
535288,1.452389,-77.734195,-0.770518
535388,1.462211,-77.745712,-0.785121
535488,1.468918,-77.755284,-0.79782
535588,1.465318,-77.771072,-0.800265
535688,1.456085,-77.793555,-0.795988
535788,1.443617,-77.817332,-0.784656
535888,1.434222,-77.838529,-0.774597
535988,1.430824,-77.85646,-0.767576
536088,1.435488,-77.870168,-0.7695
536188,1.45171,-77.88186,-0.781728
536288,1.46758,-77.891451,-0.793709
536388,1.476169,-77.899634,-0.803635
536488,1.467443,-77.906799,-0.798695
536588,1.448231,-77.913707,-0.783977
536688,1.424009,-77.922803,-0.764266
536788,1.393175,-77.935427,-0.739888
536888,1.359349,-77.952844,-0.710261
536988,1.333114,-77.972981,-0.687619
537088,1.314014,-77.997149,-0.671638
537188,1.304596,-78.018083,-0.667595
537288,1.303849,-78.036485,-0.674099
537388,1.310799,-78.0543,-0.688074
537488,1.314187,-78.071107,-0.702581
537588,1.309845,-78.08844,-0.71201
537688,1.291426,-78.105709,-0.70521
537788,1.259241,-78.121658,-0.683962
537888,1.241109,-78.134969,-0.671756
537988,1.234303,-78.1514,-0.664931
538088,1.2402,-78.171163,-0.671227
538188,1.252875,-78.193985,-0.685582
538288,1.262543,-78.217925,-0.701736
538388,1.256515,-78.243941,-0.708434
538488,1.241366,-78.263702,-0.703201
538588,1.209783,-78.273757,-0.678838
538688,1.167771,-78.275611,-0.646246
538788,1.126558,-78.273877,-0.607479
538888,1.099615,-78.282034,-0.584205
538988,1.074731,-78.302933,-0.56422
539088,1.041268,-78.334797,-0.538215
539188,0.998148,-78.361273,-0.495932
539288,0.949111,-78.371092,-0.456511
539388,0.894613,-78.374849,-0.414009
539488,0.843186,-78.377283,-0.37567
539588,0.796204,-78.386659,-0.334141
539688,0.76973,-78.405024,-0.306007
539788,0.75714,-78.433497,-0.293137
539888,0.75117,-78.468458,-0.286257
539988,0.740246,-78.502942,-0.281795
540088,0.72226,-78.531788,-0.256229
540188,0.693493,-78.551762,-0.231379
540288,0.66342,-78.568172,-0.202969
540388,0.625776,-78.584888,-0.171963
540488,0.594086,-78.604904,-0.141481
540588,0.56454,-78.625951,-0.106141
540688,0.537694,-78.645903,-0.070622
540788,0.514934,-78.664829,-0.045025
540888,0.483611,-78.6773,-0.013179
540988,0.443192,-78.692654,0.025542
541088,0.392913,-78.708051,0.084058
541188,0.322708,-78.721897,0.159927
541288,0.233071,-78.738279,0.24021
541388,0.131092,-78.761177,0.335286
541488,0.024069,-78.786821,0.44513
541588,-0.077013,-78.812916,0.5486
541688,-0.166392,-78.837336,0.643422
541788,-0.24788,-78.861751,0.732925
541888,-0.325252,-78.890041,0.821846
541988,-0.406398,-78.922519,0.903312
542088,-0.499698,-78.956988,1.010981
542188,-0.609525,-78.993715,1.101399
542288,-0.746074,-79.03133,1.226768
542388,-0.892891,-79.070013,1.361738
542488,-1.042892,-79.109957,1.514781
542588,-1.190543,-79.1543,1.640017
542688,-1.33114,-79.200871,1.748901
542788,-1.462455,-79.248805,1.842007
542888,-1.586688,-79.298034,1.956385
542988,-1.729034,-79.344787,2.06798
543088,-1.887484,-79.389669,2.170531
543188,-2.0564,-79.432719,2.297196
543288,-2.235597,-79.478153,2.446411
543388,-2.416063,-79.525515,2.583794
543488,-2.596877,-79.576226,2.736715
543588,-2.779395,-79.63133,2.847873
543688,-2.9515,-79.688886,2.913784
543788,-3.133689,-79.742403,3.008217
543888,-3.310656,-79.792774,3.05264
543988,-3.494909,-79.842234,3.067665
544088,-3.691793,-79.891857,3.067529
544188,-3.894093,-79.931978,3.079354
544288,-4.109158,-79.964621,3.078312
544388,-4.318836,-79.990473,3.062545
544488,-4.52425,-80.020571,3.027025
544588,-4.724086,-80.061957,2.929094
544688,-4.915055,-80.120095,2.685808
544788,-5.103981,-80.182885,2.509018
544888,-5.280931,-80.233519,2.134042
544988,-5.453984,-80.266398,1.815961
545088,-5.641926,-80.289258,1.547864
545188,-5.836223,-80.315068,1.406435
545288,-6.050799,-80.355738,1.188036
545388,-6.270786,-80.414299,1.047177
545488,-6.494339,-80.484876,1.121913
545588,-6.700445,-80.558248,1.29624
545688,-6.89405,-80.627465,1.493969
545788,-7.065831,-80.689615,1.666043
545888,-7.201563,-80.744677,1.803421
545988,-7.311867,-80.792909,1.916055
546088,-7.396906,-80.837178,2.00535
546188,-7.477111,-80.879752,2.089926
546288,-7.55812,-80.923146,2.170355
546388,-7.645295,-80.97245,2.249595
546488,-7.745448,-81.029045,2.329472
546588,-7.854687,-81.089022,2.411638
546688,-7.962735,-81.153579,2.489635
546788,-8.053888,-81.21828,2.54948
546888,-8.122798,-81.282487,2.590118
546988,-8.172515,-81.346402,2.616893
547088,-8.206102,-81.412194,2.62762
547188,-8.234863,-81.47827,2.634949
547288,-8.257755,-81.546932,2.634835
547388,-8.279768,-81.619187,2.630279
547488,-8.305277,-81.6929,2.626685
547588,-8.330802,-81.766127,2.617822
547688,-8.357128,-81.834444,2.604727
547788,-8.379034,-81.899994,2.587432
547888,-8.406622,-81.963877,2.58314
547988,-8.438324,-82.030237,2.596864
548088,-8.498933,-82.107444,2.65647
548188,-8.599779,-82.192626,2.772574
548288,-8.737191,-82.276104,2.93407
548388,-8.892777,-82.342129,3.115761
548488,-9.058181,-82.387378,3.30434
548588,-9.236915,-82.421284,3.508007
548688,-9.415112,-82.454098,3.71618
548788,-9.57529,-82.48586,3.910245
548888,-9.698499,-82.51608,4.065795
548988,-9.765747,-82.544511,4.159966
549088,-9.784166,-82.572818,4.201784
549188,-9.730924,-82.605131,4.172388
549288,-9.619813,-82.640858,4.091943
549388,-9.477671,-82.686557,3.990263
549488,-9.325398,-82.748516,3.893316
549588,-9.185452,-82.83056,3.827468
549688,-9.082669,-82.934953,3.813586
549788,-9.011511,-83.054703,3.839049
549888,-8.993368,-83.177235,3.924333
549988,-9.041016,-83.295625,4.079647
550088,-9.179866,-83.408256,4.325784
550188,-9.412903,-83.521033,4.660015
550288,-9.697684,-83.634909,5.037098
550388,-10.031658,-83.758787,5.455842
550488,-10.424354,-83.891943,5.923349
550588,-10.83928,-84.014641,6.401357
550688,-11.270186,-84.112471,6.886654
550788,-11.668075,-84.189508,7.334395
550888,-12.033473,-84.255551,7.749719
550988,-12.354469,-84.327075,8.124458
551088,-12.649459,-84.418776,8.480212
551188,-12.916056,-84.528901,8.816134
551288,-13.151223,-84.649826,9.127516
551388,-13.32155,-84.768517,9.374566
551488,-13.408605,-84.879991,9.53513
551588,-13.398081,-84.983476,9.595291
551688,-13.263918,-85.079213,9.527362
551788,-13.014635,-85.165534,9.342831
551888,-12.662098,-85.241738,9.054878
551988,-12.239031,-85.311488,8.699622
552088,-11.796034,-85.37886,8.329859
552188,-11.354858,-85.447294,7.967385
552288,-10.932566,-85.514744,7.633855
552388,-10.522594,-85.582718,7.319082
552488,-10.05907,-85.642868,6.951434
552588,-9.510063,-85.694233,6.495863
552688,-8.858028,-85.735342,5.931841
552788,-8.068192,-85.767681,5.226728
552888,-7.135108,-85.788176,4.375736
552988,-6.030629,-85.799835,3.350622
553088,-4.833338,-85.80472,2.231522
553188,-3.563521,-85.809977,1.037399
553288,-2.249557,-85.815297,-0.206563
553388,-0.915976,-85.816808,-1.477285
553488,0.395459,-85.812752,-2.7305
553588,1.760458,-85.800667,-4.04056
553688,3.143366,-85.774954,-5.372132
553788,4.551021,-85.743753,-6.727393
553888,5.934825,-85.705488,-8.059519
553988,7.257932,-85.646802,-9.349597
554088,8.529143,-85.562943,-10.613546
554188,9.760064,-85.453089,-11.864366
554288,10.890094,-85.330245,-13.034909
554388,11.955336,-85.205729,-14.141861
554488,12.965872,-85.088033,-15.178392
554588,13.890781,-84.974375,-16.106714
554688,14.711339,-84.868251,-16.90297
554788,15.459207,-84.773572,-17.594436
554888,16.175551,-84.694973,-18.215998
554988,16.926483,-84.63888,-18.834834
555088,17.827171,-84.616188,-19.579064
555188,18.928466,-84.622094,-20.52483
555288,20.128251,-84.635674,-21.595453
555388,21.239981,-84.632714,-22.629769
555488,22.096868,-84.599431,-23.477931
555588,22.562532,-84.525911,-24.000574
555688,22.743664,-84.41948,-24.295643
555788,22.757934,-84.302264,-24.457924
555888,22.715063,-84.207458,-24.574393
555988,22.73463,-84.159758,-24.75098
556088,22.880398,-84.15327,-25.046264
556188,23.173469,-84.176136,-25.469097
556288,23.582524,-84.211199,-25.979293
556388,24.032644,-84.250388,-26.502627
556488,24.493053,-84.287636,-27.007128
556588,24.917994,-84.319695,-27.448929
556688,25.265671,-84.347425,-27.794202
556788,25.511905,-84.377056,-28.025995
556888,25.654766,-84.410857,-28.147313
556988,25.621962,-84.443022,-28.095175
557088,25.40265,-84.471106,-27.873045
557188,25.059104,-84.500271,-27.561911
557288,24.632699,-84.538467,-27.215743
557388,24.231875,-84.593957,-26.937103
557488,23.90471,-84.667912,-26.756834
557588,23.65129,-84.753878,-26.6592
557688,23.463828,-84.848836,-26.617796
557788,23.366518,-84.950147,-26.647382
557888,23.338135,-85.05429,-26.727721
557988,23.379004,-85.162772,-26.852609
558088,23.413751,-85.268719,-26.951796
558188,23.383958,-85.36835,-26.979582
558288,23.306576,-85.464791,-26.964459
558388,23.186981,-85.569511,-26.92607
558488,23.099247,-85.695662,-26.9432
558588,23.073721,-85.840029,-27.041828
558688,23.092374,-85.993894,-27.199924
558788,23.157268,-86.148911,-27.411528
558888,23.286692,-86.300502,-27.68524
558988,23.497308,-86.44915,-28.03052
559088,23.787515,-86.594134,-28.445298
559188,24.099387,-86.731282,-28.877699
559288,24.351464,-86.85983,-29.244967
559388,24.517734,-86.978661,-29.523237
559488,24.519861,-87.086631,-29.636496
559588,24.334524,-87.18235,-29.561382
559688,23.991165,-87.268367,-29.329422
559788,23.519893,-87.346678,-28.971311
559888,22.924993,-87.421418,-28.489241
559988,22.182455,-87.490765,-27.85218
560088,21.130671,-87.544361,-26.885429
560188,19.66481,-87.57266,-25.476579
560288,17.667415,-87.567443,-23.50765
560388,15.224314,-87.525278,-21.07131
560488,12.432354,-87.447103,-18.27582
560588,9.500427,-87.341817,-15.345379
560688,6.583724,-87.225459,-12.451367
560788,3.786639,-87.115578,-9.696083
560888,1.104974,-87.006621,-7.066203
560988,-1.428059,-86.875865,-4.584927
561088,-3.702402,-86.684622,-2.351122
561188,-5.652769,-86.424145,-0.42256
561288,-7.271269,-86.120891,1.18413
561388,-8.582349,-85.809665,2.485301
561488,-9.63492,-85.502562,3.525624
561588,-10.55717,-85.212817,4.428701
561688,-11.372508,-84.959746,5.210344
561788,-12.03485,-84.747574,5.808781
561888,-12.590752,-84.591695,6.258264
561988,-13.097168,-84.498559,6.630102
562088,-13.666478,-84.461583,7.057993
562188,-14.330144,-84.480664,7.581938
562288,-15.060941,-84.569012,8.200631
562388,-15.783108,-84.734189,8.868412
562488,-16.328396,-84.959,9.4326
562588,-16.47406,-85.194341,9.685831
562688,-16.039145,-85.38359,9.444751
562788,-15.008026,-85.485669,8.674568
562888,-13.59355,-85.491622,7.570723
562988,-12.017296,-85.415108,6.324159
563088,-10.480038,-85.272064,5.098175
563188,-9.165416,-85.086971,4.04193
563288,-8.195418,-84.879569,3.249271
563388,-7.621104,-84.664244,2.753428
563488,-7.379518,-84.452617,2.515931
563588,-7.318565,-84.253764,2.414754
563688,-7.209027,-84.072477,2.240623
563788,-6.95858,-83.928211,1.914603
563888,-6.537316,-83.84052,1.427408
563988,-5.966689,-83.804079,0.818806
564088,-5.243368,-83.805538,0.095254
564188,-4.364848,-83.834472,-0.750658
564288,-3.385416,-83.8812,-1.678549
564388,-2.38864,-83.940152,-2.621747
564488,-1.474012,-84.008063,-3.487934
564588,-0.658363,-84.096006,-4.265194
564688,0.050864,-84.201218,-4.942984
564788,0.652101,-84.309083,-5.516389
564888,1.105568,-84.406291,-5.944525
564988,1.43948,-84.494104,-6.258228
565088,1.720998,-84.583229,-6.532057
565188,1.990976,-84.677712,-6.8067
565288,2.207485,-84.773526,-7.02991
565388,2.365426,-84.862678,-7.188326
565488,2.498691,-84.945818,-7.312685
565588,2.647089,-85.032885,-7.441404
565688,2.830218,-85.130568,-7.600509
565788,3.051088,-85.242878,-7.800546
565888,3.276715,-85.363984,-8.011567
565988,3.511898,-85.481467,-8.244438
566088,3.782001,-85.586726,-8.523684
566188,4.116556,-85.674494,-8.872311
566288,4.529452,-85.743022,-9.299449
566388,4.9791,-85.795406,-9.757575
566488,5.459031,-85.83661,-10.234556
566588,6.021165,-85.870909,-10.781199
566688,6.62907,-85.903547,-11.359689
566788,7.308974,-85.939287,-12.003088
566888,8.085364,-85.980627,-12.738696
566988,9.028094,-86.042464,-13.641663
567088,10.156826,-86.118273,-14.722908
567188,11.430081,-86.196762,-15.919036
567288,12.664923,-86.23723,-17.032212
567388,13.681606,-86.208759,-17.890258
567488,14.465973,-86.110987,-18.502811
567588,15.018248,-85.957287,-18.898186
567688,15.370372,-85.764188,-19.139865
567788,15.706316,-85.550006,-19.429481
567888,16.13332,-85.315544,-19.869434
567988,16.620239,-85.041664,-20.417698
568088,17.08317,-84.713572,-20.974609
568188,17.498826,-84.327296,-21.504442
568288,17.852466,-83.898444,-21.967793
568388,18.042422,-83.450506,-22.24344
568488,18.035954,-83.022665,-22.2989
568588,17.901067,-82.667858,-22.185863
568688,17.692833,-82.420174,-21.959022
568788,17.500415,-82.288756,-21.72807
568888,17.416438,-82.260375,-21.60676
568988,17.614927,-82.30635,-21.747177
569088,18.16358,-82.385869,-22.212347
569188,18.97044,-82.476605,-22.943298
569288,19.8573,-82.553188,-23.81849
569388,20.56805,-82.571498,-24.61798
569488,20.857025,-82.500381,-25.088814
569588,20.704327,-82.351156,-25.183896
569688,20.212148,-82.164095,-24.972524
569788,19.53808,-81.989675,-24.580612
569888,18.836627,-81.866703,-24.134361
569988,18.155356,-81.80837,-23.668494
570088,17.492412,-81.801899,-23.176146
570188,16.900332,-81.828593,-22.702807
570288,16.437215,-81.874135,-22.298311
570388,16.089647,-81.921407,-21.9587
570488,15.817349,-81.960954,-21.665856
570588,15.568487,-81.995826,-21.395686
570688,15.305839,-82.03588,-21.132308
570788,15.005308,-82.090433,-20.866635
570888,14.659018,-82.159643,-20.594514
570988,14.254487,-82.228979,-20.299302
571088,13.758551,-82.279705,-19.940045
571188,13.12716,-82.29975,-19.468325
571288,12.387539,-82.286537,-18.903699
571388,11.565476,-82.250586,-18.263823
571488,10.711633,-82.204109,-17.589749
571588,9.875681,-82.159901,-16.923208
571688,9.162047,-82.13715,-16.359458
571788,8.601222,-82.146673,-15.922053
571888,8.206273,-82.193749,-15.625347
571988,7.961834,-82.266934,-15.458216
572088,7.819093,-82.354019,-15.374505
572188,7.748784,-82.445245,-15.345484
572288,7.711864,-82.540288,-15.339416
572388,7.667344,-82.634219,-15.315816
572488,7.55983,-82.719543,-15.228838
572588,7.360229,-82.790004,-15.057654
572688,7.078964,-82.868602,-14.817238
572788,6.715852,-82.959721,-14.512
572888,6.272579,-83.058093,-14.129948
572988,5.729176,-83.143778,-13.635499
573088,5.087105,-83.19868,-13.02109
573188,4.384097,-83.226044,-12.323025
573288,3.660202,-83.241674,-11.586816
573388,2.925955,-83.254181,-10.834768
573488,2.177077,-83.263675,-10.069036
573588,1.416612,-83.267818,-9.295466
573688,0.630179,-83.26944,-8.502156
573788,-0.159873,-83.273951,-7.712553
573888,-0.910287,-83.288005,-6.97115
573988,-1.612654,-83.307813,-6.278402
574088,-2.277033,-83.317657,-5.621078
574188,-2.92666,-83.312277,-4.976178
574288,-3.611223,-83.284791,-4.293408
574388,-4.38703,-83.233251,-3.51499
574488,-5.29848,-83.157316,-2.590613
574588,-6.31931,-83.053364,-1.544356
574688,-7.39615,-82.917797,-0.434161
574788,-8.484625,-82.747032,0.70838
574888,-9.528587,-82.524332,1.839565
574988,-10.504116,-82.262063,2.934123
575088,-11.328017,-81.977693,3.888527
575188,-11.966167,-81.676354,4.630225
575288,-12.445577,-81.35471,5.15928
575388,-12.783902,-81.027854,5.487393
575488,-13.02554,-80.729412,5.67067
575588,-13.179288,-80.508533,5.735866
575688,-13.253114,-80.38577,5.702765
575788,-13.274139,-80.361441,5.604947
575888,-13.319901,-80.431934,5.535417
575988,-13.420224,-80.584573,5.52605
576088,-13.552002,-80.818041,5.561781
576188,-13.640779,-81.125285,5.592218
576288,-13.58637,-81.455138,5.55891
576388,-13.254386,-81.738987,5.363637
576488,-12.578764,-81.923935,4.943172
576588,-11.639546,-81.978271,4.352878
576688,-10.575663,-81.907146,3.690223
576788,-9.499196,-81.738876,3.010644
576888,-8.55443,-81.516915,2.407173
576988,-7.884853,-81.284432,1.974317
577088,-7.548559,-81.0625,1.748451
577188,-7.452504,-80.861313,1.65187
577288,-7.44215,-80.680667,1.570693
577388,-7.394579,-80.540026,1.422804
577488,-7.292443,-80.469127,1.219659
577588,-7.116835,-80.465855,0.960892
577688,-6.829894,-80.507011,0.611546
577788,-6.428335,-80.57132,0.177069
577888,-5.90622,-80.645655,-0.347024
577988,-5.335796,-80.720589,-0.898564
578088,-4.801636,-80.781218,-1.41011
578188,-4.39907,-80.81664,-1.799146
578288,-4.151907,-80.838433,-2.042138
578388,-4.065183,-80.870757,-2.143002
578488,-4.111677,-80.924825,-2.133395
578588,-4.264682,-81.007578,-2.038103
578688,-4.480597,-81.103105,-1.89736
578788,-4.732162,-81.206455,-1.737698
578888,-5.028876,-81.322597,-1.5485
578988,-5.371433,-81.45341,-1.322675
579088,-5.753841,-81.599663,-1.0591
579188,-6.152924,-81.755464,-0.77484
579288,-6.558419,-81.91847,-0.475061
579388,-6.977468,-82.081579,-0.157906
579488,-7.40188,-82.234091,0.170911
579588,-7.81984,-82.362311,0.50955
579688,-8.223118,-82.466336,0.85784
579788,-8.652215,-82.568574,1.250419
579888,-9.148785,-82.693605,1.717155
579988,-9.730394,-82.846858,2.269556
580088,-10.349947,-83.00543,2.866177
580188,-10.969528,-83.144657,3.477351
580288,-11.563236,-83.259465,4.078833
580388,-12.142668,-83.368099,4.673907
580488,-12.717062,-83.489198,5.264264
580588,-13.29419,-83.631145,5.86105
580688,-13.881865,-83.799982,6.48844
580788,-14.525456,-84.002937,7.2196
580888,-15.139137,-84.205072,7.985735
580988,-15.602457,-84.353267,8.66719
581088,-15.818257,-84.414195,9.127978
581188,-15.693122,-84.380096,9.21497
581288,-15.198334,-84.264452,8.870001
581388,-14.407792,-84.082012,8.158861
581488,-13.412671,-83.857427,7.174443
581588,-12.294686,-83.633081,6.022735
