SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
197858,-0.035213,-0.047088,-0.010514,-3.457597,-79.567885,3.400579
197958,-0.027274,-0.036204,-0.015134,-3.423842,-79.588796,3.350753
198058,-0.030216,-0.015151,-0.0207,-3.369164,-79.598353,3.278114
198158,-0.040117,0.002101,-0.027549,-3.296711,-79.597303,3.182274
198258,-0.043832,0.009119,-0.030083,-3.219074,-79.591572,3.078596
198358,-0.045489,0.008255,-0.027546,-3.148413,-79.587409,2.981066
198458,-0.045748,-0.007572,-0.026554,-3.082588,-79.592808,2.888011
198558,-0.035143,-0.032542,-0.021346,-3.028273,-79.613354,2.813619
198658,-0.027737,-0.048599,-0.018891,-2.981105,-79.641025,2.75233
198758,-0.024337,-0.042913,-0.018544,-2.935444,-79.665256,2.692551
198858,-0.025319,-0.025881,-0.021773,-2.875358,-79.679917,2.619048
198958,-0.029888,-0.018326,-0.025097,-2.810602,-79.691102,2.533359
199058,-0.031809,-0.010231,-0.024054,-2.749821,-79.695292,2.452704
199158,-0.029303,-0.010033,-0.026015,-2.678254,-79.699802,2.364119
199258,-0.01908,-0.02073,-0.029181,-2.592058,-79.709813,2.267413
199358,-0.005874,-0.031862,-0.03389,-2.477495,-79.726646,2.153378
199458,0.004547,-0.043928,-0.042398,-2.334142,-79.750376,2.014926
199558,0.004276,-0.062337,-0.050664,-2.165109,-79.784783,1.850377
199658,0.00348,-0.075575,-0.057437,-1.980246,-79.824746,1.66963
199758,0.025055,-0.078363,-0.063112,-1.762828,-79.866458,1.469071
199858,0.056835,-0.073196,-0.071801,-1.491094,-79.906561,1.232745
199958,0.075358,-0.051097,-0.073754,-1.203924,-79.932342,0.990836
200058,0.082485,-0.029147,-0.07174,-0.914292,-79.947112,0.748862
200158,0.077427,-0.020361,-0.062073,-0.663359,-79.954775,0.542629
200258,0.059908,-0.03402,-0.058003,-0.428602,-79.971267,0.343374
200358,0.044966,-0.066542,-0.066621,-0.177325,-80.005145,0.119936
200458,0.027936,-0.086932,-0.070966,0.079898,-80.050207,-0.120306
200558,0.017384,-0.092004,-0.069709,0.329796,-80.097434,-0.358228
200658,0.025445,-0.09641,-0.085663,0.637395,-80.145102,-0.646818
200758,0.037215,-0.088017,-0.086922,0.962538,-80.189679,-0.947525
200858,0.057932,-0.070395,-0.08816,1.302088,-80.224557,-1.254493
200958,0.07783,-0.051769,-0.092021,1.671637,-80.24931,-1.578918
201058,0.084689,-0.041989,-0.094089,2.04711,-80.267975,-1.907079
201158,0.073468,-0.031036,-0.087035,2.397368,-80.282401,-2.219054
201258,0.059774,-0.027173,-0.0745,2.696048,-80.295101,-2.486259
201358,0.05587,-0.033928,-0.060174,2.942396,-80.312122,-2.704026
201458,0.055231,-0.038413,-0.051178,3.160814,-80.332244,-2.893782
201558,0.061255,-0.035919,-0.047,3.36828,-80.351779,-3.070172
201658,0.066914,-0.021145,-0.042296,3.559872,-80.362793,-3.227365
201758,0.078148,-0.011126,-0.047169,3.773554,-80.367901,-3.399809
201858,0.082457,0.002669,-0.059557,4.027696,-80.364594,-3.611259
201958,0.080905,0.00793,-0.067092,4.304985,-80.35789,-3.847106
202058,0.07452,-0.007265,-0.065724,4.577516,-80.359691,-4.081945
202158,0.057547,-0.016971,-0.058554,4.819305,-80.367194,-4.295346
202258,0.042432,-0.020572,-0.049077,5.022083,-80.377086,-4.477923
202358,0.032253,-0.023242,-0.027511,5.147545,-80.389522,-4.588051
202458,0.017758,-0.023008,-0.01293,5.215772,-80.402549,-4.648552
202558,0.010421,-0.01891,-0.001469,5.239959,-80.413816,-4.66866
202658,0.013564,-0.019,-0.00111,5.264839,-80.425164,-4.687666
202758,0.019577,-0.026465,-0.009141,5.322847,-80.440344,-4.736758
202858,0.022833,-0.037041,-0.013432,5.400861,-80.461288,-4.80425
202958,0.01555,-0.042664,-0.010677,5.467571,-80.48557,-4.864508
203058,0.002323,-0.047692,-0.001192,5.496361,-80.513226,-4.894022
203158,-0.021853,-0.051272,0.014688,5.45834,-80.543789,-4.869839
203258,-0.045767,-0.055217,0.021504,5.384321,-80.576972,-4.823078
203358,-0.065821,-0.056863,0.019755,5.305049,-80.610992,-4.782646
203458,-0.088941,-0.053657,0.015419,5.226176,-80.642937,-4.756046
203558,-0.099225,-0.056176,0.010352,5.159568,-80.67607,-4.747875
203658,-0.102876,-0.06824,0.006684,5.107245,-80.715885,-4.756311
203758,-0.10411,-0.088455,0.001474,5.078752,-80.766974,-4.789583
203858,-0.092782,-0.099428,-0.004561,5.081487,-80.824014,-4.847957
203958,-0.075187,-0.102346,-0.010142,5.115518,-80.882419,-4.927768
204058,-0.057105,-0.098783,-0.015976,5.180349,-80.938483,-5.028279
204158,-0.051474,-0.090878,-0.023738,5.274706,-80.989597,-5.155389
204258,-0.052464,-0.086894,-0.028108,5.384056,-81.038175,-5.298285
204358,-0.052021,-0.091311,-0.030275,5.50455,-81.089125,-5.452101
204458,-0.049639,-0.106164,-0.0299,5.631818,-81.148505,-5.611387
204558,-0.041728,-0.120433,-0.029364,5.768791,-81.215999,-5.775901
204658,-0.024299,-0.125961,-0.034191,5.937933,-81.286267,-5.962893
204758,-0.003789,-0.115891,-0.04559,6.160411,-81.349998,-6.191852
204858,0.011099,-0.092294,-0.05844,6.432708,-81.399317,-6.462757
204958,0.017239,-0.066751,-0.071282,6.748835,-81.433003,-6.774357
205058,0.002721,-0.058812,-0.074116,7.065894,-81.461616,-7.095338
205158,-0.031082,-0.073965,-0.068525,7.352458,-81.499099,-7.405046
205258,-0.076818,-0.116826,-0.06349,7.617743,-81.561045,-7.719935
205358,-0.108983,-0.151515,-0.049126,7.832343,-81.643667,-8.002144
205458,-0.110762,-0.170019,-0.036093,8.010254,-81.737652,-8.248231
205558,-0.097182,-0.151907,-0.029774,8.16553,-81.821747,-8.463511
205658,-0.08089,-0.114052,-0.026304,8.298261,-81.884558,-8.646356
205758,-0.071616,-0.069798,-0.019325,8.384585,-81.92288,-8.77696
205858,-0.065248,-0.046401,-0.019336,8.461575,-81.947899,-8.894331
205958,-0.049668,-0.063493,-0.022881,8.572579,-81.982298,-9.037063
206058,-0.03017,-0.115836,-0.02971,8.756143,-82.045664,-9.241664
206158,-0.020809,-0.169633,-0.03359,8.999104,-82.139046,-9.500793
206258,-0.022048,-0.201468,-0.0368,9.282551,-82.24996,-9.801397
206358,-0.021981,-0.211651,-0.039723,9.594249,-82.366143,-10.130403
206458,-0.019965,-0.202876,-0.042654,9.922979,-82.476831,-10.475336
206558,-0.013452,-0.187441,-0.043306,10.25611,-82.578483,-10.820852
206658,-0.02532,-0.155093,-0.041994,10.559383,-82.661786,-11.14303
206758,-0.049804,-0.115284,-0.039199,10.809535,-82.722774,-11.425735
206858,-0.075606,-0.105166,-0.028318,10.99221,-82.779118,-11.655279
206958,-0.094678,-0.133639,-0.009879,11.109856,-82.853425,-11.830269
207058,-0.105638,-0.184583,0.009174,11.183957,-82.958439,-11.967689
207158,-0.105492,-0.228372,0.020835,11.248111,-83.089331,-12.094991
207258,-0.09731,-0.241863,0.02777,11.300917,-83.228556,-12.206123
207358,-0.07812,-0.241542,0.034184,11.337092,-83.368299,-12.289421
207458,-0.051956,-0.215655,0.028388,11.39377,-83.492836,-12.378248
207558,-0.035248,-0.163654,0.011889,11.492402,-83.586282,-12.499632
207658,-0.044781,-0.11377,-8.3e-05,11.597191,-83.650332,-12.632673
207758,-0.074106,-0.094832,-0.010576,11.720736,-83.702514,-12.801466
207858,-0.10795,-0.107548,-0.010463,11.84044,-83.761801,-12.985889
207958,-0.140114,-0.136661,0.008119,11.880484,-83.839566,-13.108718
208058,-0.165168,-0.180593,0.026107,11.862807,-83.944077,-13.187942
208158,-0.193446,-0.230808,0.036583,11.830966,-84.07798,-13.269234
208258,-0.20721,-0.264742,0.036294,11.833916,-84.230872,-13.393436
208358,-0.196657,-0.28289,0.032411,11.890784,-84.393461,-13.565734
208458,-0.173307,-0.270794,0.03296,11.949794,-84.549304,-13.726709
208558,-0.150606,-0.247947,0.033413,11.996086,-84.692373,-13.861802
208658,-0.142304,-0.224846,0.029518,12.045344,-84.822026,-13.995052
208758,-0.14481,-0.211534,0.032431,12.060827,-84.944573,-14.095789
208858,-0.159165,-0.205935,0.043651,11.989892,-85.065333,-14.117997
208958,-0.176833,-0.221386,0.057197,11.838798,-85.196362,-14.069908
209058,-0.180643,-0.244718,0.06975,11.626984,-85.341921,-13.963102
209158,-0.169842,-0.266539,0.074631,11.408286,-85.500238,-13.843228
209258,-0.152003,-0.274934,0.076104,11.189496,-85.663382,-13.713061
209358,-0.150541,-0.263801,0.06951,10.992343,-85.819486,-13.603802
209458,-0.169481,-0.237076,0.058827,10.81687,-85.959358,-13.527194
209558,-0.195429,-0.198972,0.046518,10.659364,-86.076446,-13.483517
209658,-0.218872,-0.176949,0.04364,10.47169,-86.180822,-13.423072
209758,-0.226024,-0.182749,0.045143,10.268976,-86.288616,-13.351666
209858,-0.225124,-0.215707,0.049993,10.067887,-86.415475,-13.281381
209958,-0.208035,-0.24847,0.051134,9.909846,-86.560916,-13.244428
210058,-0.184286,-0.268326,0.052352,9.778746,-86.717672,-13.220839
210158,-0.159325,-0.270012,0.05109,9.670329,-86.875246,-13.205646
210258,-0.141307,-0.261821,0.046538,9.600088,-87.027747,-13.218344
210358,-0.133146,-0.24366,0.042464,9.542734,-87.169594,-13.239258
210458,-0.115601,-0.213597,0.038863,9.47616,-87.294113,-13.240869
210558,-0.101373,-0.187681,0.035463,9.403174,-87.403669,-13.227895
210658,-0.09592,-0.18715,0.032753,9.363536,-87.512676,-13.245172
210758,-0.087431,-0.186963,0.032604,9.329373,-87.621567,-13.26306
210858,-0.090602,-0.190713,0.030891,9.325822,-87.732416,-13.313406
210958,-0.106026,-0.205917,0.029137,9.379814,-87.851688,-13.430184
211058,-0.111159,-0.216749,0.027431,9.497142,-87.976903,-13.613281
211158,-0.103604,-0.210992,0.023239,9.693588,-88.098435,-13.87121
211258,-0.093782,-0.19928,0.018848,9.969272,-88.212883,-14.202776
211358,-0.081936,-0.187173,0.013189,10.359873,-88.319866,-14.642503
211458,-0.067994,-0.177632,0.011541,10.811316,-88.421201,-15.135082
211558,-0.057578,-0.172298,0.016979,11.191629,-88.520028,-15.550507
211658,-0.050705,-0.182258,0.0245,11.504477,-88.625232,-15.894481
