PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
00719,251636,8.117231,0.507885,0.412015,-0.088793,-0.089877,-0.184852,24.118496,-79.933655,-25.454366
00720,251836,9.018728,0.070317,0.759429,-0.221441,-0.219177,-0.177948,25.527003,-80.078948,-27.141798
00721,252036,9.214746,-0.053863,1.535131,-0.331779,-0.333882,-0.174182,27.180242,-80.336087,-29.204882
00722,252236,9.008764,-0.296831,2.209564,-0.308629,-0.301775,-0.136093,28.620017,-80.571416,-31.023154
00723,252436,8.991980,-0.387226,2.404106,-0.187189,-0.197224,-0.114132,29.776613,-80.707359,-32.412478
00724,252636,9.239846,-0.263096,2.722379,-0.093522,-0.117238,-0.118826,30.812563,-80.756858,-33.570506
00725,252836,9.922766,0.006335,2.955685,-0.069045,-0.002236,-0.135891,31.561647,-80.680301,-34.409551
00726,253036,10.538557,0.216075,3.029442,-0.074487,0.066793,-0.137923,32.047059,-80.533559,-34.987992
00727,253236,10.630948,0.333833,3.090154,-0.090126,0.107285,-0.137358,32.346216,-80.346965,-35.396068
00728,253436,10.303542,0.271297,2.232783,-0.037723,0.136653,-0.147644,32.642438,-80.125215,-35.740523
00729,253636,10.679449,0.043828,1.673640,0.134857,0.191928,-0.173906,33.066969,-79.833662,-36.014758
00730,253836,12.022518,0.203014,2.740718,0.330309,0.316057,-0.194397,33.375600,-79.409874,-35.943841
00731,254036,13.338042,1.036740,5.948360,-0.012786,0.469236,-0.156345,32.611221,-78.861754,-35.180691
00732,254236,14.272466,3.319931,6.251906,-0.433354,0.666226,-0.082012,30.534642,-78.161396,-33.568728
00733,254436,14.358517,4.363372,1.323973,-0.452121,0.708236,-0.105898,28.650739,-77.394972,-32.171411
00734,254636,12.353924,1.994136,-3.624277,-0.070135,0.325396,-0.273287,28.987119,-76.917873,-32.598764
00735,254836,9.538305,0.454462,-3.973264,0.109487,-0.449882,-0.233624,31.253451,-77.231412,-34.795028
00736,255036,8.444258,0.650709,-1.717771,0.086467,-0.774393,-0.028493,33.650152,-77.965443,-37.147144
00737,255236,9.527174,1.486171,-1.121746,0.004870,-0.595254,0.021416,35.428447,-78.544313,-38.957310
00738,255436,11.159850,2.379839,0.182674,-0.122319,-0.374349,0.052529,36.318428,-78.930278,-40.007165
00739,255636,12.008003,3.019094,0.766884,-0.371529,-0.212165,0.123838,36.058781,-79.213253,-40.175731
00740,255836,11.700200,2.552431,0.584472,-0.360566,-0.155527,0.116458,35.643823,-79.438837,-40.173261
00741,256036,9.779545,0.738926,-0.036776,-0.224260,-0.125308,0.036751,35.673367,-79.583323,-40.463989
00742,256236,7.780627,-0.829039,-0.069401,-0.063577,-0.241101,0.071180,36.148232,-79.858613,-41.020019
00743,256436,6.725398,-1.227816,0.634359,0.005852,-0.267782,0.190823,36.197921,-80.239329,-41.063125
00744,256636,6.086112,-0.480841,1.234957,0.084698,-0.204148,0.306997,35.429224,-80.638871,-40.184729
00745,256836,6.044552,0.713913,1.265828,0.168351,-0.156319,0.368968,34.117584,-81.031015,-38.660319
00746,257036,6.471112,1.612046,0.965867,0.190776,-0.100447,0.333034,32.706355,-81.340922,-37.010604
00747,257236,6.979167,1.674275,0.804431,0.208342,-0.075346,0.231118,31.778745,-81.558762,-35.830737
00748,257436,7.662945,1.378163,1.098096,0.201706,-0.110729,0.110344,31.750671,-81.736547,-35.568336
00749,257636,8.274631,1.093958,1.344880,0.232550,-0.173523,0.035372,32.533737,-81.929617,-36.089808
00750,257836,8.707290,1.154900,1.543683,0.253849,-0.215451,0.032874,33.581659,-82.159966,-36.853799
00751,258036,8.868642,1.391504,1.990117,0.252890,-0.178321,0.077901,34.184539,-82.381856,-37.169376
00752,258236,8.749171,1.705589,2.503980,0.246495,-0.080196,0.096858,34.183644,-82.522199,-36.883176
00753,258436,8.542661,1.791477,2.907172,0.160129,-0.031475,0.100812,33.806809,-82.618052,-36.317757
00754,258636,8.366076,1.625990,3.114107,0.033319,0.057371,0.125684,32.653404,-82.642739,-35.115927
00755,258836,9.019558,1.594082,2.841433,-0.065704,0.175552,0.160017,30.579899,-82.567819,-33.100654
00756,259036,9.648360,1.640374,2.318102,-0.095667,0.206106,0.170309,28.311133,-82.458020,-30.922642
00757,259236,10.645192,1.670672,2.262503,-0.087710,0.178929,0.159698,26.302551,-82.359459,-28.997380
00758,259436,11.736398,1.767815,2.367981,-0.153058,0.217921,0.163032,24.112518,-82.212509,-26.964004
00759,259636,12.650744,2.309531,3.262776,-0.400256,0.271695,0.171247,21.498128,-82.000530,-24.787289
00760,259836,12.755389,2.025050,4.909474,-0.442575,0.465213,0.132499,18.754450,-81.550391,-22.527159
00761,260036,12.962567,1.003038,5.362863,-0.018647,0.729526,0.157157,16.032436,-80.803799,-19.793850
00762,260236,15.025022,-0.322251,2.710131,0.299596,0.874052,0.243622,13.308406,-79.902955,-16.682220
00763,260436,15.215957,-0.210095,-0.913766,0.170053,0.602364,0.324909,10.747856,-79.304087,-13.880416
00764,260636,11.816074,-0.107177,-3.768834,-0.104492,0.170943,0.203660,9.255136,-79.152138,-12.482314
00765,260836,10.363083,-0.324849,-3.182112,-0.060137,-0.247190,0.088779,8.905066,-79.449665,-12.195683
00766,261036,9.941325,-1.962055,-1.461150,-0.034534,-0.279072,0.100643,8.519280,-79.785879,-11.843310
00767,261236,11.080447,-2.891711,0.356370,-0.054159,-0.166470,0.231040,7.137854,-80.014067,-10.502935
00768,261436,11.139823,0.263383,2.138597,-0.067929,0.156222,0.196827,5.690725,-79.864410,-9.112034
00769,261636,10.004845,2.151888,1.657046,0.253628,0.161398,-0.016189,5.988522,-79.681531,-9.118997
00770,261836,9.331713,2.993539,1.012316,0.417718,0.061072,-0.288958,8.228290,-79.574096,-10.908894
00771,262036,7.726130,2.000322,0.852155,0.317434,0.068432,-0.416821,11.077109,-79.419583,-13.435737
00772,262236,5.952205,0.425288,0.990095,0.048804,0.016915,-0.369838,13.334007,-79.313777,-15.674573
00773,262436,4.902017,-0.473352,1.018213,-0.190872,-0.103482,-0.311395,15.121234,-79.343638,-17.715262
00774,262636,4.950697,-1.219810,0.917675,-0.195788,-0.175140,-0.182697,16.279666,-79.482774,-19.121503
00775,262836,5.833746,-0.875830,0.916867,-0.028388,-0.146388,-0.093212,17.075383,-79.615405,-19.963286
00776,263036,7.359522,-0.075367,0.768091,0.104481,-0.123307,-0.094710,18.008552,-79.720094,-20.789719
00777,263236,8.523229,0.071384,1.152244,0.070496,-0.075566,-0.122598,18.989074,-79.760335,-21.703678
00778,263436,9.123546,-0.207990,1.880870,-0.060306,-0.081774,-0.141613,19.952537,-79.797191,-22.752534
00779,263636,9.499468,-0.250072,2.272358,-0.113869,-0.145837,-0.123151,20.896253,-79.906992,-23.843489
00780,263836,9.500597,-0.020819,2.314377,-0.007408,-0.183797,-0.069102,21.748178,-80.076649,-24.716920
00781,264036,9.182148,0.103932,2.467221,-0.000658,-0.155264,-0.022448,22.276514,-80.233965,-25.253683
00782,264236,8.932818,0.179017,2.931700,-0.018051,-0.118615,-0.028842,22.744474,-80.348528,-25.749239
00783,264436,9.405649,0.600096,3.152802,-0.015154,-0.041078,-0.083982,23.361467,-80.355382,-26.392542
00784,264636,10.206786,0.821035,3.227622,-0.048806,0.045663,-0.130396,23.987545,-80.248269,-27.084302
00785,264836,10.487933,0.698948,3.164096,-0.068590,0.038037,-0.154375,24.740280,-80.136032,-27.927864
00786,265036,10.787224,0.422552,2.889607,-0.041896,0.003275,-0.173686,25.715773,-80.048009,-28.966798
00787,265236,10.953623,0.007376,2.122277,0.067720,0.064012,-0.205312,26.802632,-79.878336,-29.991717
00788,265436,11.893925,-0.021875,3.016304,0.137993,0.211598,-0.233026,27.655995,-79.540621,-30.698355
00789,265636,12.783749,1.055027,6.176670,-0.155608,0.409978,-0.249658,27.660012,-78.990902,-30.884072
00790,265836,13.841004,3.053969,4.871724,-0.606968,0.454039,-0.162964,26.605138,-78.441185,-30.517784
00791,266036,14.036277,3.901076,-0.187830,-0.776010,0.171456,-0.210584,26.337554,-78.156588,-31.152575
00792,266236,12.416841,2.104464,-4.621951,-0.409306,-0.160739,-0.385375,28.145523,-78.118480,-33.478982
00793,266436,9.859563,1.021669,-3.809133,-0.127334,-0.356176,-0.360199,30.689054,-78.272737,-36.226093
00794,266636,8.665114,0.031266,-1.020766,-0.192087,-0.476839,-0.190084,32.792569,-78.624869,-38.597291
00795,266836,9.749619,0.283145,-0.349714,0.027980,-0.461192,-0.061915,34.619943,-79.027543,-40.426811
00796,267036,11.503582,1.427404,-0.243067,-0.029413,-0.431339,-0.004395,36.126022,-79.430324,-41.993679
00797,267236,11.995839,2.549767,0.189645,-0.276439,-0.336131,0.064474,36.749976,-79.786745,-42.949502
00798,267436,11.508580,2.284925,0.393319,-0.192381,-0.197617,0.043192,37.090615,-80.000172,-43.518795
00799,267636,10.144984,0.196150,0.328820,0.045415,-0.160478,-0.015781,37.883831,-80.137997,-44.270617
00800,267836,8.546133,-1.190433,0.938052,0.048133,-0.208643,0.070146,38.449421,-80.378824,-44.787971
00801,268036,7.048416,-1.221110,1.399674,-0.003313,-0.152835,0.196904,38.049180,-80.659375,-44.385589
00802,268236,5.883517,-0.571213,1.033367,0.097749,-0.105242,0.323172,36.808323,-80.983661,-43.014802
00803,268436,5.493079,0.360639,0.686631,0.274542,-0.156652,0.391562,35.481257,-81.396749,-41.353206
00804,268636,6.085063,1.065457,0.778589,0.405635,-0.143598,0.365158,34.275076,-81.774400,-39.663705
00805,268836,6.976372,1.251390,1.031743,0.467558,-0.070355,0.261457,33.392874,-82.011395,-38.231100
00806,269036,7.715142,1.033440,1.148106,0.476370,-0.062096,0.135284,33.302763,-82.159114,-37.588695
00807,269236,8.408182,0.770559,1.310889,0.480512,-0.105658,0.071584,33.857211,-82.308273,-37.592269
00808,269436,9.012073,1.157398,1.904328,0.458488,-0.132562,0.081369,34.457302,-82.488938,-37.667365
00809,269636,8.889460,1.593000,2.581232,0.427219,-0.068517,0.094441,34.618894,-82.617079,-37.336359
00810,269836,8.386962,2.062534,2.932479,0.382086,0.059105,0.109079,33.977374,-82.633035,-36.247758
00811,270036,8.002692,2.120952,3.038708,0.280466,0.099556,0.111498,33.002884,-82.609213,-34.940826
00812,270236,8.264624,1.802597,2.952259,0.134604,0.169625,0.094880,31.670665,-82.503387,-33.441511
00813,270436,8.621173,1.446540,2.097533,0.057426,0.237185,0.101518,29.952579,-82.329475,-31.641660
00814,270636,9.034097,1.341778,1.667819,0.022651,0.166508,0.122211,28.402819,-82.230931,-30.051301
00815,270836,9.835174,1.552733,2.029876,-0.034022,0.053035,0.116181,27.305466,-82.238939,-28.982896
00816,271036,11.566344,2.071718,2.600043,-0.263122,-0.001774,0.108860,26.204571,-82.296074,-28.175922
00817,271236,13.255268,2.374607,3.827699,-0.484268,0.105442,0.103508,24.494454,-82.236211,-27.009862
00818,271436,14.147188,1.911294,5.239095,-0.268480,0.383287,0.079521,22.351406,-81.867113,-25.156419
00819,271636,15.554503,0.426139,4.674255,0.129924,0.734363,0.132651,19.548212,-81.132662,-22.171390
00820,271836,16.268084,-0.490326,1.067754,0.060030,0.732330,0.259351,16.294340,-80.423254,-18.805057
00821,272036,14.522774,0.330049,-2.358693,-0.425228,0.282203,0.331345,13.184534,-80.206249,-16.144306
00822,272236,11.703480,0.442081,-2.692256,-0.255187,-0.096852,0.134349,12.170345,-80.348688,-15.411654
00823,272436,10.380927,-0.673913,-1.383594,0.138158,-0.240118,-0.022020,12.843116,-80.613014,-15.932941
00824,272636,10.352086,-2.627728,-0.364275,0.152515,-0.167595,0.068139,12.821583,-80.819388,-15.733793
