SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Gyr_Z(rad/sec),Heading (rad) 
114478,-0.011761,-0.119918,0.052347,-15.422958,-81.147134,13.820159,0.000913612,0.241161775
114578,-0.029249,-0.131487,0.054852,-15.759336,-81.211665,14.143511,0.000957332,0.246804267
114678,-0.038466,-0.139915,0.058327,-16.127216,-81.280013,14.493331,0.001017981,0.252908626
114778,-0.05094,-0.15634,0.057694,-16.523296,-81.357165,14.864378,0.001006933,0.259383396
114878,-0.066272,-0.165106,0.052073,-16.924398,-81.439692,15.231538,0.00090883,0.265790338
114978,-0.068655,-0.178214,0.044919,-17.323095,-81.530241,15.5948,0.000783971,0.27212926
115078,-0.062358,-0.179092,0.038045,-17.701964,-81.622102,15.941577,0.000663999,0.278180519
115178,-0.044717,-0.154765,0.034693,-18.036616,-81.700974,16.2538,0.000605497,0.28362881
115278,-0.013419,-0.122461,0.035808,-18.323538,-81.761819,16.535854,0.000624957,0.288550652
115378,0.033485,-0.097558,0.038958,-18.568297,-81.808367,16.802414,0.000679934,0.293202124
115478,0.084637,-0.104211,0.049764,-18.836569,-81.856371,17.122296,0.000868531,0.298784065
115578,0.127955,-0.144205,0.063934,-19.190921,-81.923147,17.554143,0.00111584,0.306319795
115678,0.168441,-0.20243,0.08112,-19.674993,-82.017656,18.140322,0.001415787,0.316548619
115778,0.203295,-0.264064,0.098571,-20.308714,-82.141113,18.897585,0.00172036,0.329762858
115878,0.225699,-0.30326,0.112063,-21.064806,-82.28155,19.791064,0.001955836,0.345354067
115978,0.231499,-0.299644,0.121799,-21.881435,-82.416302,20.748676,0.002125758,0.362064396
116078,0.224842,-0.233631,0.124062,-22.631636,-82.51375,21.635168,0.002165254,0.377533682
116178,0.20743,-0.146449,0.119202,-23.241347,-82.564845,22.369755,0.002080433,0.390352225
116278,0.177833,-0.077375,0.108337,-23.710223,-82.581179,22.945156,0.001890806,0.400392972
116378,0.143114,-0.044308,0.097067,-24.096092,-82.582217,23.416779,0.00169411,0.408622794
116478,0.112956,-0.03681,0.082399,-24.426583,-82.582377,23.815135,0.00143811,0.415574106
116578,0.088603,-0.038391,0.069448,-24.721775,-82.586137,24.163826,0.001212076,0.421658764
116678,0.071921,-0.047642,0.055287,-24.98707,-82.597869,24.472729,0.000964924,0.427049121
116778,0.060516,-0.056819,0.043249,-25.228526,-82.617085,24.750998,0.000754825,0.431904915
116878,0.058183,-0.067153,0.028762,-25.433919,-82.645031,24.991547,0.000501983,0.436102495
116978,0.06426,-0.070968,0.014891,-25.588758,-82.678235,25.18462,0.000259893,0.439471619
117078,0.07316,-0.073859,0.003006,-25.697404,-82.715781,25.336252,5.24637E-05,0.442117597
117178,0.076584,-0.073122,-0.008906,-25.755412,-82.75584,25.438803,-0.000155436,0.443907112
117278,0.06894,-0.080533,-0.020145,-25.787295,-82.802473,25.510596,-0.000351591,0.4451599
117378,0.057723,-0.087959,-0.023634,-25.826651,-82.853764,25.583435,-0.000412484,0.446430941
117478,0.051747,-0.091719,-0.020431,-25.891053,-82.906151,25.678055,-0.000356582,0.44808206
117578,0.047541,-0.098287,-0.011642,-26.009103,-82.959668,25.824293,-0.000203188,0.450633913
117678,0.037886,-0.104595,-0.002069,-26.187977,-83.013943,26.02622,-3.61103E-05,0.454157539
117778,0.027543,-0.114147,0.002141,-26.413654,-83.071935,26.269301,3.73669E-05,0.458399302
117878,0.015243,-0.11923,-0.00212,-26.643092,-83.133468,26.509039,-3.70004E-05,0.462582731
117978,0.002094,-0.112958,-0.0089,-26.841652,-83.193391,26.710059,-0.000155332,0.46609053
118078,-0.013521,-0.095788,-0.017818,-26.976464,-83.246745,26.837849,-0.000310978,0.468320465
118178,-0.026472,-0.080773,-0.027656,-27.044741,-83.294936,26.891155,-0.00048268,0.469250655
118278,-0.014711,-0.061539,-0.035243,-27.031071,-83.335266,26.868733,-0.000615096,0.468859391
118378,-0.000232,-0.057815,-0.043157,-26.96583,-83.375741,26.802742,-0.000753219,0.467707848
118478,0.016872,-0.070329,-0.049056,-26.892106,-83.424127,26.738082,-0.000856174,0.466579531
118578,0.043362,-0.102693,-0.050014,-26.871266,-83.489291,26.741934,-0.000872894,0.466646748
118678,0.061759,-0.150647,-0.053408,-26.934637,-83.579823,26.841142,-0.00093213,0.468377928
118778,0.067397,-0.186916,-0.057447,-27.063815,-83.689879,27.009795,-0.001002622,0.471320923
118878,0.074359,-0.212054,-0.061779,-27.234588,-83.813802,27.224263,-0.001078229,0.475063389
118978,0.078789,-0.211313,-0.067873,-27.37946,-83.938844,27.415185,-0.001184587,0.478394978
119078,0.075819,-0.188324,-0.076722,-27.431256,-84.05445,27.510763,-0.001339029,0.480062814
119178,0.073318,-0.163951,-0.082517,-27.395378,-84.159148,27.51674,-0.001440169,0.480167113
119278,0.077955,-0.147194,-0.084772,-27.30076,-84.25587,27.466346,-0.001479526,0.479287738
119378,0.083995,-0.141902,-0.086542,-27.176764,-84.350309,27.389913,-0.001510418,0.477953982
119478,0.087614,-0.153784,-0.089041,-27.065786,-84.451408,27.328657,-0.001554033,0.476885065
119578,0.09449,-0.183294,-0.087899,-27.034132,-84.567222,27.351057,-0.001534101,0.477275945
119678,0.098896,-0.217483,-0.085793,-27.106978,-84.699887,27.48095,-0.001497345,0.479542578
119778,0.102231,-0.238129,-0.083787,-27.254022,-84.842479,27.687238,-0.001462335,0.483142303
119878,0.095974,-0.241338,-0.083956,-27.423048,-84.986642,27.911948,-0.001465284,0.487063493
119978,0.086554,-0.231576,-0.084817,-27.573253,-85.125956,28.112299,-0.001480311,0.490559618
120078,0.068302,-0.225601,-0.085429,-27.720965,-85.262293,28.299611,-0.001490992,0.493828212
120178,0.050251,-0.214812,-0.087491,-27.839778,-85.393606,28.447514,-0.00152698,0.496409119
