time,gx,gy,gz,ax,ay,az,mx,my,mz,p
308536,-0.088526,-0.299867,0.081933,0.282981134,0.084264742,0.952901546,-0.013021,0.221738,-0.828911,1016.55188
308636,-0.09586,-0.319452,0.067543,0.27973134,0.092892887,0.942121856,-0.001938,0.218912,-0.836057,1016.55188
308736,-0.10658,-0.339824,0.053148,0.264182062,0.110833918,0.93007134,0.001768,0.2224,-0.847399,1016.55188
308836,-0.119237,-0.364659,0.044967,0.241818866,0.123749691,0.917681237,0.013574,0.2256,-0.865761,1016.55188
308936,-0.136174,-0.389682,0.04806,0.217891753,0.125728041,0.909820619,0.020411,0.230897,-0.884523,1016.55188
309036,-0.148576,-0.419818,0.064977,0.196857938,0.125218866,0.911928454,0.034254,0.238148,-0.904681,1016.55188
309136,-0.151171,-0.451382,0.077579,0.182555464,0.115593608,0.919519072,0.03409,0.238524,-0.922699,1016.55188
309236,-0.14903,-0.490244,0.086356,0.188031546,0.097714845,0.923773299,0.043258,0.236919,-0.933794,1016.55188
309336,-0.139148,-0.525353,0.086907,0.200269485,0.082571856,0.921404948,0.042974,0.242937,-0.94451,1016.55188
309436,-0.13043,-0.553247,0.073972,0.211814124,0.079397732,0.916741237,0.046318,0.244303,-0.963477,1016.55188
309536,-0.120612,-0.563818,0.060381,0.222468763,0.084726598,0.918514845,0.044132,0.249099,-0.979268,1016.55188
309636,-0.113113,-0.558905,0.052147,0.222111753,0.100249897,0.925723505,0.042917,0.249846,-0.994263,1016.55188
309736,-0.107964,-0.550601,0.048442,0.214167835,0.118809794,0.934617526,0.03426,0.257235,-1.009929,1016.55188
309836,-0.098129,-0.541183,0.039145,0.207205773,0.135513918,0.943964948,0.028512,0.255939,-1.022527,1016.55188
309936,-0.094098,-0.532769,0.032602,0.192940722,0.152479175,0.949021031,0.017189,0.258451,-1.029427,1016.55188
310036,-0.093901,-0.530992,0.015826,0.189395876,0.163513093,0.956862268,0.010396,0.256054,-1.039577,1016.55188
310136,-0.097766,-0.518956,-0.005443,0.195819278,0.167468763,0.970297216,-0.00405,0.255785,-1.039607,1016.55188
310236,-0.107574,-0.483559,-0.007625,0.20831134,0.157462268,0.978753918,-0.015029,0.254914,-1.038662,1016.55188
310336,-0.116479,-0.441774,0.002869,0.214097216,0.135129691,0.978990412,-0.027952,0.255192,-1.040165,1016.55188
310436,-0.117716,-0.409355,0.016771,0.208744124,0.116172784,0.966683402,-0.03043,0.257248,-1.040564,1016.55188
310536,-0.110648,-0.388057,0.027631,0.199853814,0.093654742,0.953753608,-0.043858,0.259005,-1.041492,1016.55188
310636,-0.094168,-0.380774,0.029692,0.192256082,0.080575258,0.951065155,-0.046855,0.25407,-1.041747,1016.55188
310736,-0.072284,-0.37606,0.028912,0.188803814,0.070536804,0.956133505,-0.060796,0.25282,-1.042327,1016.55188
310836,-0.046203,-0.369685,0.036814,0.182762268,0.071704227,0.967321031,-0.061724,0.249542,-1.046504,1016.55188
310936,-0.024277,-0.353627,0.050811,0.17940433,0.084602165,0.97787866,-0.071094,0.250431,-1.051479,1016.55188
311036,-0.007948,-0.334418,0.071695,0.174129175,0.090207216,0.991094433,-0.071921,0.251877,-1.060425,1016.55188
311136,0.011493,-0.301307,0.101579,0.175562577,0.089012268,0.998137113,-0.083866,0.252589,-1.060903,1016.55188
311236,0.027272,-0.267498,0.117627,0.181106907,0.096701959,1.00258433,-0.086244,0.253415,-1.066876,1016.55188
311336,0.040041,-0.232238,0.115347,0.19248433,0.104935876,1.006301856,-0.096625,0.251307,-1.071505,1016.55188
311436,0.05911,-0.200528,0.097877,0.204302577,0.12266866,1.005421959,-0.095556,0.250487,-1.075554,1016.55188
311536,0.081819,-0.173456,0.070029,0.219267732,0.143869794,1.008180206,-0.103451,0.250806,-1.079555,1016.55188
311636,0.10107,-0.146292,0.043746,0.223239794,0.156483608,1.009088351,-0.097907,0.245432,-1.083831,1016.55188
311736,0.116922,-0.122039,0.030893,0.222123918,0.169302784,1.005233814,-0.106276,0.244336,-1.089407,1016.549561
311836,0.122628,-0.091715,0.032522,0.212296495,0.162154227,1.01145567,-0.100278,0.239829,-1.091134,1016.549561
311936,0.126995,-0.069412,0.03683,0.203305876,0.144741546,1.029818969,-0.104284,0.23835,-1.090211,1016.549561
312036,0.129811,-0.045537,0.040873,0.205800722,0.125965979,1.055367113,-0.101187,0.236598,-1.09631,1016.549561
312136,0.140878,-0.028364,0.03576,0.223909485,0.122540309,1.079511856,-0.102163,0.237659,-1.097259,1016.549561
312236,0.152336,-0.01144,0.014426,0.251630206,0.132318247,1.095792784,-0.097093,0.23533,-1.102382,1016.549561
312336,0.162778,0.012451,-0.007268,0.28045701,0.151306186,1.114663299,-0.099446,0.234734,-1.109931,1016.549561
312436,0.171134,0.054602,-0.02134,0.298716289,0.171347113,1.134348247,-0.08872,0.237733,-1.123796,1016.549561
312536,0.180225,0.104926,-0.028683,0.309866495,0.184629485,1.154178557,-0.085481,0.243294,-1.136535,1016.549561
312636,0.183571,0.166704,-0.029175,0.318992577,0.186570206,1.166838351,-0.07571,0.243441,-1.153051,1016.549561
312736,0.177779,0.234771,-0.027889,0.325894845,0.175807113,1.180209175,-0.066805,0.254355,-1.175032,1016.549561
312836,0.171475,0.310334,-0.013055,0.325934021,0.162479072,1.205003608,-0.043323,0.261415,-1.204708,1016.549561
312936,0.170189,0.411895,0.009119,0.329658144,0.145619485,1.233445876,-0.024387,0.274332,-1.230083,1016.549561
313036,0.174278,0.542537,0.040892,0.334574639,0.124480825,1.263693093,0.007515,0.279643,-1.257333,1016.549561
313136,0.186421,0.679181,0.075257,0.32112,0.105576907,1.290856907,0.041934,0.289447,-1.285354,1016.549561
313236,0.201843,0.76923,0.100525,0.272869485,0.09505567,1.298003608,0.089802,0.299036,-1.313371,1016.549561
313336,0.213299,0.784691,0.105584,0.19582732,0.115000206,1.281637423,0.132982,0.308168,-1.330394,1016.549561
313436,0.210853,0.752333,0.051204,0.138842887,0.159732268,1.242294433,0.193696,0.316291,-1.35296,1016.549561
313536,0.188037,0.698466,-0.075364,0.077183093,0.195560825,1.178762062,0.244238,0.330969,-1.363178,1016.549561
313636,0.153153,0.596557,-0.205417,0.00038,0.206585155,1.107230412,0.299721,0.343977,-1.371471,1016.549561
313736,0.108096,0.445179,-0.284623,-0.068994227,0.20415268,1.045881546,0.342824,0.372749,-1.38148,1016.549561
313836,0.055645,0.277946,-0.282825,-0.115775258,0.168387629,0.995338351,0.38733,0.396298,-1.387244,1016.549561
313936,0.011311,0.111149,-0.20571,-0.13759567,0.103157732,0.957159278,0.410302,0.429316,-1.385535,1016.549561
314036,-0.018127,-0.026962,-0.068842,-0.115314124,0.02385,0.913589381,0.432754,0.454844,-1.383707,1016.549561
314136,-0.0405,-0.087871,0.101768,-0.070395155,-0.05587299,0.87360701,0.442089,0.480642,-1.372862,1016.549561
314236,-0.05935,-0.04366,0.258909,-0.017938454,-0.140589588,0.848513608,0.458536,0.501733,-1.370265,1016.549561
314336,-0.06742,0.074886,0.380009,0.018975773,-0.210806804,0.849355464,0.467059,0.527032,-1.369466,1016.549561
314436,-0.049357,0.197072,0.448449,0.022,-0.239152784,0.862007526,0.496516,0.538644,-1.371347,1016.549561
314536,-0.02024,0.253474,0.472095,-0.004903402,-0.185689588,0.871162371,0.517644,0.556207,-1.379947,1016.549561
314636,-0.013691,0.261124,0.481794,-0.029815361,-0.114896907,0.884984021,0.546207,0.5681,-1.387326,1016.549561
